id_point,name,type,altitude,lat,lon,group
2186,Le Piquet de Nantes,sommet,2214,44.9616,5.8438,0
2358,Tête de Barbalon,sommet,2380,44.991,5.9188,0
1765,Le Coiro,sommet,2607,44.93305,5.9125,0
1445,Tabor (de la Mure),sommet,2389,44.97634,5.85488,0
2187,Le Grand-Serre,sommet,2141,45.005,5.825,0
3366,Petit Rochebrune,sommet,3078,44.82528,6.84645,0
2063,Pic de Caramantran,sommet,3025,44.67832,6.96341,0
5491,Pic de Château Renard,sommet,2989,44.6986,6.9062,0
2060,Grand-Glaiza,sommet,3293,44.848,6.8838,0
2059,Pointe de la Saume,sommet,3043,44.63917,6.76279,0
2093,Pic de Rochebrune,sommet,3320,44.821,6.7874,0
2028,Mont Pelat,sommet,3050,44.26499,6.70593,0
1503,Aiguille du Chambeyron,sommet,3412,44.54761,6.85612,0
2072,Tète de l'Enchastraye,sommet,2954,44.367,6.888,0
2132,La Mortice,sommet,3169,44.5735,6.7693,0
1480,Le Cimet,sommet,3020,44.29027,6.70416,0
6951,Tête de Sautron,sommet,3165,44.48792,6.87726,0
5893,Cime du gelas,sommet,3143,44.1228384397411,7.38422870635986,0
5961,Mont Clapier,sommet,3045,44.1147049031189,7.41984844207764,0
2071,Cime Guilié,sommet,2999,44.1474,7.3105,0
2083,Pointe de Colombart,sommet,2641,44.308,6.829,0
2073,Cime du Diable,sommet,2685,44.0487634863354,7.42268085479736,0
2510,Tête Est de L'Encombrette,sommet,2680,44.2031,6.7101,0
1485,Puy de Rent,sommet,1996,44.02106,6.59021,0
2084,Cime de Pal,sommet,2818,44.2066,6.8293,0
2081,Cime Ouest de Fenestre,sommet,2662,44.117,7.357,0
2082,Mont -Mounier,sommet,2817,44.154,6.971,0
2680,Mont-Bégo,sommet,2872,44.073,7.451,0
1438,Mont Tenibre,sommet,3031,44.2841,6.9713,0
1487,Grand Coyer,sommet,2693,44.10024,6.68969,0
2016,Mont-Malinvern,sommet,2938,44.1983,7.1888,0
3273,Pointe des Lauses Noires,sommet,3370,45.24556,7.11695,0
5648,Mont Glacier (Tête-de-Savoney),sommet,3185,45.631355572653,7.53941059112549,0
2544,Grand Paradis,sommet,4061,45.5184,7.2679,0
3157,Levanna Occidentale,sommet,3589,45.41381,7.1625,0
4794,Mont Tour,sommet,3385,45.22555,7.05121,0
3203,Pointe de la Valette,sommet,3384,45.24396,7.12516,0
3156,Ouille d'Arbéron,sommet,3554,45.2712925478485,7.12926864624023,3554
5395,Grande Ciamarella (Uia di Ciamarella),sommet,3676,45.32813,7.14532,0
3209,Pointe de Ronce,sommet,3612,45.26445,6.97831,0
6442,La Tresenta,sommet,3609,45.4991431492455,7.26423740386963,0
1188,Aiguille de la grande Sassière,sommet,3747,45.505108,6.999637,0
2226,Pointe de la Galise,sommet,3343,45.4666,7.1044,0
1107,Gross-Fiescherhorn,sommet,4049,46.55131,8.06156,0
4297,Aletschhorn,sommet,4193,46.4652,7.99343,0
1117,Wildhorn,sommet,3248,46.3554068327447,7.36158013343811,0
5946,Scex Rouge (Diablerets),sommet,2971,46.3271499908227,7.20261096954346,0
5457,Arpelistock,sommet,3035,46.34385,7.31526,0
1092,Mönch,sommet,4107,46.5585061942225,7.99742460250855,0
1108,Finsteraarhorn,sommet,4274,46.5381,8.1261,0
1090,Äbeni Flue,sommet,3962,46.5079,7.95364,0
1105,Breithorn,sommet,3785,46.4781,7.8761,0
1093,Eiger,sommet,3970,46.577,8.005,0
1089,Gletcherhorn,sommet,3983,46.5131,7.9671,0
1112,Wildstrubel,sommet,3244,46.40946,7.5335,0
1114,Pointe de la Plaine Morte,sommet,2927,46.3711,7.4861,0
1113,Schneehorn,sommet,3178,46.3901,7.5551,0
1091,Jungfrau,sommet,4158,46.53678,7.96274,0
1585,Les Monges,sommet,2115,44.2628581332384,6.19422912597656,0
5810,Dôme des Robines,sommet,995,43.982567156656,6.4525043964386,0
1497,Sommet du Cheval blanc,sommet,2323,44.1271,6.4238,0
5901,Sommet de Mouchon,sommet,1593,43.9879978902854,6.43043518066406,0
