"x","place","code","lon","lat","ligne","arr","transit"
"http://fr.dbpedia.org/resource/Alésia_(métro_de_Paris)","Alésia",15,2.32675,48.8284,"4","14",5237657
"http://fr.dbpedia.org/resource/Anvers_(métro_de_Paris)","Anvers",3104,2.34485,48.883,"2","9",6888848
"http://fr.dbpedia.org/resource/Porte_de_la_Villette_(métro_de_Paris)","Porte de la Villette",304,2.38588,48.8971,"7","19",3391240
"http://fr.dbpedia.org/resource/Porte_de_la_Chapelle_(métro_de_Paris)","Porte de la Chapelle",2006,2.35919,48.8973,"12","18",2905144
"http://fr.dbpedia.org/resource/Pereire_(métro_de_Paris)","Pereire",3005,2.29921,48.8846,"3","17",4787487
"http://fr.dbpedia.org/resource/Église_d'Auteuil_(métro_de_Paris)","Église d'Auteuil",7,2.26902,48.8472,"10","16",183783
"http://fr.dbpedia.org/resource/Ternes_(métro_de_Paris)","Ternes",1814,2.29867,48.8782,"2","8",3928660
"http://fr.dbpedia.org/resource/Chevaleret_(métro_de_Paris)","Chevaleret",902,2.36808,48.8349,"6","13",3058367
"http://fr.dbpedia.org/resource/La_Courneuve_-_8_Mai_1945_(métro_de_Paris)",1945-05-08+02:00,307,2.41067,48.9208,"7","",5536146
"http://fr.dbpedia.org/resource/Oberkampf_(métro_de_Paris)","Oberkampf",810,2.36888,48.8645,"5, 9","11",4167444
"http://fr.dbpedia.org/resource/Courcelles_(métro_de_Paris)","Courcelles",1815,2.30434,48.8794,"2","8",2650620
"http://fr.dbpedia.org/resource/Chemin_Vert_(métro_de_Paris)","Chemin Vert",1213,2.36835,48.8568,"8","3",1483745
"http://fr.dbpedia.org/resource/Javel_-_André_Citroën_(métro_de_Paris)","Javel - André Citroën",1614,2.27872,48.8462,"10","15",2565099
"http://fr.dbpedia.org/resource/Lamarck_-_Caulaincourt_(métro_de_Paris)","Lamarck - Caulaincourt",2012,2.33869,48.8898,"12","18",3154666
"http://fr.dbpedia.org/resource/Gare_d'Austerlitz_(métro_de_Paris)","Gare d'Austerlitz",907,2.36497,48.8426,"10, 5","5",8375268
"http://fr.dbpedia.org/resource/Porte_d'Italie_(métro_de_Paris)","Porte d'Italie",14,2.36081,48.8192,"7","13",2486263
"http://fr.dbpedia.org/resource/Porte_de_Bagnolet_(métro_de_Paris)","Porte de Bagnolet",2304,2.40728,48.8646,"3","20",4487998
"http://fr.dbpedia.org/resource/Pernety_(métro_de_Paris)","Pernety",402,2.31851,48.8342,"13","14",3348989
"http://fr.dbpedia.org/resource/Porte_de_Saint-Cloud_(métro_de_Paris)","Porte de Saint-Cloud",703,2.25696,48.8381,"10, 9","16",5284078
"http://fr.dbpedia.org/resource/Charonne_(métro_de_Paris)","Charonne",24,2.38464,48.8551,"9","11",4074046
"http://fr.dbpedia.org/resource/Notre-Dame-de-Lorette_(métro_de_Paris)","Notre-Dame-de-Lorette",31,2.33859,48.8761,"12","9",3007196
"http://fr.dbpedia.org/resource/Nation_(métro_de_Paris)","Nation",510,2.39591,48.8485,"1, 2, 6, 9","11",9541406
"http://fr.dbpedia.org/resource/Château_de_Vincennes_(métro_de_Paris)","Château de Vincennes",2511,2.43951,48.8445,"1","12",5122469
"http://fr.dbpedia.org/resource/Liège_(métro_de_Paris)","Liège",613,2.32698,48.8796,"12, 13, 8","et",1712165
"http://fr.dbpedia.org/resource/Buzenval_(métro_de_Paris)","Buzenval",5,2.40205,48.852,"9","20",1914564
"http://fr.dbpedia.org/resource/Buttes_Chaumont_(métro_de_Paris)","Buttes Chaumont",23,2.38177,48.8785,"7b","19",507867
"http://fr.dbpedia.org/resource/Solférino_(métro_de_Paris)","Solférino",1014,2.32322,48.8582,"12","7",2632023
"http://fr.dbpedia.org/resource/Saint-Jacques_(métro_de_Paris)","Saint-Jacques",1507,2.33708,48.8329,"6","http://fr.dbpedia.org/resource/14e_arrondissement_de_Paris",2070465
"http://fr.dbpedia.org/resource/Philippe_Auguste_(métro_de_Paris)","Philippe Auguste",24,2.39094,48.858,"2","11",1876528
"http://fr.dbpedia.org/resource/Mouton-Duvernet_(métro_de_Paris)","Mouton-Duvernet",1504,2.3299,48.8314,"4, 5, 7","14",1688932
"http://fr.dbpedia.org/resource/Saint-Sébastien_-_Froissart_(métro_de_Paris)","Saint-Sébastien - Froissart",8,2.36736,48.8605,"8","3",1783783
"http://fr.dbpedia.org/resource/Michel-Ange_-_Auteuil_(métro_de_Paris)","Michel-Ange - Auteuil",7,2.26387,48.8478,"10, 9","16",2222709
"http://fr.dbpedia.org/resource/Bir-Hakeim_(métro_de_Paris)","Bir-Hakeim",1004,2.28933,48.8539,"6","15",8157090
"http://fr.dbpedia.org/resource/Saint-Denis_-_Université_(métro_de_Paris)","Saint-Denis - Université",1011,2.36367,48.9458,"13","",5357667
"http://fr.dbpedia.org/resource/Cité_(métro_de_Paris)","Cité",114,2.34672,48.8551,"4","4",2317889
"http://fr.dbpedia.org/resource/Saint-Augustin_(métro_de_Paris)","Saint-Augustin",610,2.32213,48.8744,"12, 13, 3, 9","http://fr.dbpedia.org/resource/8e_arrondissement_de_Paris",2994175
"http://fr.dbpedia.org/resource/Parmentier_(métro_de_Paris)","Parmentier",8,2.37438,48.8653,"3","11",3305625
"http://fr.dbpedia.org/resource/Michel_Bizot_(métro_de_Paris)","Michel Bizot",13,2.40123,48.8375,"8","12",2038450
