,url,name,lon,lat,altitude,range,category,group,short_name,hint
106,http://fr.dbpedia.org/resource/Col_du_Cucheron,Col du Cucheron,5.83445,45.3654,1139.0,Chartreuse,col,3,Col du Cucheron,Chartreuse
107,http://fr.dbpedia.org/resource/Col_du_Glandon,Col du Glandon,6.1758,45.2394,1924.0,Arves,col,1,Col du Glandon,Arves
108,http://fr.dbpedia.org/resource/Col_du_Granier,Col du Granier,5.91515,45.4806,1134.0,Chartreuse,col,3,Col du Granier,Chartreuse
109,http://fr.dbpedia.org/resource/Col_du_Labouret,Col du Labouret,6.37056,44.2492,1240.0,Trois-Évêchés,col,1,Col du Labouret,Trois-Évêchés
110,http://fr.dbpedia.org/resource/Col_du_Mont-Cenis,Col du Mont-Cenis,6.9009,45.2602,2081.0,Mont-Cenis,col,3,Col du Mont-Cenis,Mont-Cenis
111,http://fr.dbpedia.org/resource/Col_du_Télégraphe,Col du Télégraphe,6.44531,45.2025,1566.0,Cerces,col,1,Col du Télégraphe,Cerces
112,http://fr.dbpedia.org/resource/Col_de_la_Vanoise,Col de la Vanoise,6.795,45.3903,2522.0,Vanoise,col,1,Col de la Vanoise,Vanoise
113,http://fr.dbpedia.org/resource/Col_du_Longet,Col du Longet,6.95361,44.6431,2647.0,Chambeyron,col,3,Col du Longet,Chambeyron
114,http://fr.dbpedia.org/resource/Col_de_Chavière,Col de Chavière,6.65722,45.2706,2796.0,Vanoise,col,3,Col de Chavière,Vanoise
115,http://fr.dbpedia.org/resource/Col_de_l'Émeindras,Col de l'Émeindras,5.80389,45.2833,1372.0,Chartreuse,col,3,Col de l'Émeindras,Chartreuse
116,http://fr.dbpedia.org/resource/Col_de_la_Mort_d'Imbert,Col de la Mort d'Imbert,5.77889,43.8633,591.0,Luberon,col,3,Col de la Mort d'Imbert,Luberon
117,http://fr.dbpedia.org/resource/Col_du_Lausfer,Col du Lausfer,7.09083,44.2217,2430.0,Mercantour,col,3,Col du Lausfer,Mercantour
118,http://fr.dbpedia.org/resource/Pas_du_Préfouns,Pas du Préfouns,7.23139,44.1708,2615.0,Mercantour,col,3,Pas du Préfouns,Mercantour
119,http://fr.dbpedia.org/resource/Col_de_Marcieu,Col de Marcieu,5.91879,45.3559,1065.0,Chartreuse,col,3,Col de Marcieu,Chartreuse
120,http://fr.dbpedia.org/resource/Col_de_Pelouse,Col de Pelouse,6.74861,45.1422,2793.0,Mont-Cenis,col,3,Col de Pelouse,Mont-Cenis
121,http://fr.dbpedia.org/resource/Col_du_Fréjus,Col du Fréjus,6.67389,45.1306,2540.0,Mont-Cenis,col,3,Col du Fréjus,Mont-Cenis
122,http://fr.dbpedia.org/resource/Col_de_Font-Belle,Col de Font-Belle,6.14722,44.2153,1304.0,Préalpes de Digne,col,3,Col de Font-Belle,Préalpes de Digne
123,http://fr.dbpedia.org/resource/Col_de_Sarenne,Col de Sarenne,6.14917,45.0874,1999.0,Grandes Rousses,col,3,Col de Sarenne,Grandes Rousses
124,http://fr.dbpedia.org/resource/Col_du_Fanget,Col du Fanget,6.3275,44.3278,1459.0,Préalpes de Digne,col,3,Col du Fanget,Préalpes de Digne
125,http://fr.dbpedia.org/resource/Col_de_Clavel,Col de Clavel,6.63,43.7497,1069.0,Préalpes de Castellane,col,3,Col de Clavel,Préalpes de Castellane
126,http://fr.dbpedia.org/resource/Col_de_Pennes,Col de Pennes,5.3425,44.6447,1040.0,Diois,col,3,Col de Pennes,Diois
127,http://fr.dbpedia.org/resource/Col_de_l'Alpe,Col de l'Alpe,5.92806,45.4169,1793.0,Chartreuse,col,3,Col de l'Alpe,Chartreuse
128,http://fr.dbpedia.org/resource/Col_de_l'Alpette,Col de l'Alpette,5.91889,45.4419,1547.0,Chartreuse,col,3,Col de l'Alpette,Chartreuse
129,http://fr.dbpedia.org/resource/Col_des_Prés,Col des Prés,6.06111,45.5958,1135.0,Bauges,col,3,Col des Prés,Bauges
130,http://fr.dbpedia.org/resource/Col_du_Joly,Col du Joly,6.67389,45.7839,1989.0,Beaufortain,col,3,Col du Joly,Beaufortain
131,http://fr.dbpedia.org/resource/Col_de_Tamié,Col de Tamié,6.30861,45.6728,907.0,Bauges,col,3,Col de Tamié,Bauges
132,http://fr.dbpedia.org/resource/Col_de_l'Épine_(Haute-Savoie),Col de l'Épine,6.34889,45.7792,947.0,Aravis,col,3,Col de l'Épine,Aravis
133,http://fr.dbpedia.org/resource/Col_de_la_Croix_Fry,Col de la Croix Fry,6.40472,45.8767,1467.0,Aravis,col,3,Col de la Croix Fry,Aravis
134,http://fr.dbpedia.org/resource/Col_de_la_Forclaz_(Haute-Savoie),Col de la Forclaz (Haute-Savoie),6.24472,45.8083,1157.0,Bornes,col,2,Col de la Forclaz,Bornes
135,http://fr.dbpedia.org/resource/Col_de_la_Perche_(Savoie),Col de la Perche,6.21139,45.4281,1984.0,Belledonne,col,3,Col de la Perche,Belledonne
136,http://fr.dbpedia.org/resource/Col_Luitel,Col Luitel,5.84889,45.0875,1262.0,Belledonne,col,3,Col Luitel,Belledonne
137,http://fr.dbpedia.org/resource/Col_de_Macuègne,Col de Macuègne,5.51,44.1819,1068.0,Monts de Vaucluse,col,3,Col de Macuègne,Monts de Vaucluse
138,http://fr.dbpedia.org/resource/Col_de_la_Doria,Col de la Doria,5.98917,45.6068,1110.0,Bauges,col,3,Col de la Doria,Bauges
139,http://fr.dbpedia.org/resource/Col_de_la_Rousse,Col de la Rousse,6.44333,44.4683,2147.0,Parpaillon,col,3,Col de la Rousse,Parpaillon
140,http://fr.dbpedia.org/resource/Pas_de_l'Âne,Pas de l'Âne,6.49278,45.6808,2371.0,Beaufortain,col,3,Pas de l'Âne,Beaufortain
141,http://fr.dbpedia.org/resource/Col_de_Rabou,Col de Rabou,5.98139,44.6417,1888.0,Dévoluy,col,3,Col de Rabou,Dévoluy
142,http://fr.dbpedia.org/resource/Col_des_Granons,Col des Granons,5.68,43.8642,489.0,Luberon,col,3,Col des Granons,Luberon
