,fact,coords,year,location,country,lon,lat,city,lng
109,Départ de la Marche du Sel,"23° 02′ N, 72° 35′ E",1930,Ahmedabad,Inde,72.58333333333333,23.033333333333335,Départ de la Marche du Sel (1930),72.58333333333333
110,Mustafa Kemal proclame la République en Turquie,"39° 55′ 38″ N, 32° 51′ 52″ E",1923,Ankara,Turquie,32.864444444444445,39.92722222222222,Mustafa Kemal proclame la République en Turquie (1923),32.864444444444445
111,Hirohito devient empereur du Japon,"35° 01′ 31″ N, 135° 45′ 44″ E",1926,Kyoto,Japon,135.76222222222222,35.025277777777774,Hirohito devient empereur du Japon (1926),135.76222222222222
112,Charles Lindbergh décolle pour le premier vol transatlantique en solitaire,"40°44′31″N, 73°35′56″W",1927,Mineola,USA,-73.59888888888888,40.74194444444444,Charles Lindbergh décolle pour le premier vol transatlantique en solitaire (1927),-73.59888888888888
113,Assassinat de Troski en exil,"19° 25′ 57″ N, 99° 07′ 54″ W",1940,Mexico,Mexique,-99.13166666666666,19.4325,Assassinat de Troski en exil (1940),-99.13166666666666
114,Couronnement de Hailé Sélassié en Abyssinie,"9° 02′ 12″ N, 38° 45′ 05″ E",1930,Addis-Abeba,Ethiopie,38.75138888888889,9.036666666666667,Couronnement de Hailé Sélassié en Abyssinie (1930),38.75138888888889
115,Incendie du dirigeable Hindenburg,"40° 00′ 47″ N, 74° 19′ 13″ W",1937,Lakehurst,USA,-74.32027777777778,40.01305555555555,Incendie du dirigeable Hindenburg (1937),-74.32027777777778
116,Siège de Tobrouk,"32° 04′ 34″ N, 23° 57′ 41″ E",1941,Tobrouk,Libye,23.961388888888887,32.07611111111112,Siège de Tobrouk (1941),23.961388888888887
117,Batailles d'El Alamein,"30° 50′ 00″ N, 28° 57′ 00″ E",1942,El Alamein,Egypte,28.95,30.833333333333332,Batailles d'El Alamein (1942),28.95
118,Bataille de Guadalcanal,"9° 25′ 00″ S, 160° 00′ 00″ E",1942-1943,,Iles Salomon,160.0,-9.416666666666666,Bataille de Guadalcanal (1942-1943),160.0
119,Bataille de Midway,"28° 12′ N, 177° 21′ W",1942,,,-177.35,28.2,Bataille de Midway (1942),-177.35
120,Prise de Java par l'armée japonaise,"7° 30′ S, 111° 00′ E",1942,,Java,111.0,-7.5,Prise de Java par l'armée japonaise (1942),111.0
121,Bataille du golfe de Leyte,"10° 22′ 14″ N, 125° 21′ 20″ E",1944,Golfe du Leyte,Philippines,125.35555555555555,10.370555555555557,Bataille du golfe de Leyte (1944),125.35555555555555
122,Bataille d'Iwo Jima,"24° 47′ 00″ N, 141° 19′ 00″ E",1945,Iwo Jima,Japon,141.31666666666666,24.783333333333335,Bataille d'Iwo Jima (1945),141.31666666666666
123,Conférence de Yalta,"44° 28′ 04″ N, 34° 08′ 36″ E",1945,Yalta,URSS,34.14333333333333,44.467777777777776,Conférence de Yalta (1945),34.14333333333333
124,Premier vol du Concorde,"43° 36′ 16″ N, 1° 26′ 38″ E",1969,Toulouse,France,1.443888888888889,43.60444444444445,Premier vol du Concorde (1969),1.443888888888889
125,Indépendance de Ceylan,"6° 54′ N, 79° 54′ E",1948,Ceylan,,79.9,6.9,Indépendance de Ceylan (1948),79.9
126,Prise de pouvoir de Nasser,"30° 02′ 40″ N, 31° 14′ 44″ E",1952,Le Caire,Egypte,31.245555555555555,30.044444444444448,Prise de pouvoir de Nasser (1952),31.245555555555555
127,Renversement de Batista par Fildel Castro,"23° 08′ 30″ N, 82° 21′ 24″ W",1959,La Havane,Cuba,-82.35666666666665,23.141666666666666,Renversement de Batista par Fildel Castro (1959),-82.35666666666665
128,Soulèvement tibétain,"29° 39′ 11″ N, 91° 07′ 55″ E",1959,Lhassa,Tibet,91.13194444444444,29.653055555555554,Soulèvement tibétain (1959),91.13194444444444
129,Assassinat de John F. Kennedy,"32° 46′ 45″ N, 96° 48′ 32″ W",1953,Dallas,USA,-96.80888888888889,32.77916666666667,Assassinat de John F. Kennedy (1953),-96.80888888888889
130,Crise des missiles de Cuba,"23° 07′ 00″ N, 82° 23′ 19″ W",1962,,Cuba,-82.38861111111112,23.116666666666667,Crise des missiles de Cuba (1962),-82.38861111111112
131,Crise d'Octobre au Québec,"45° 28′ 53″ N, 73° 36′ 02″ W",1970,Westmount,Canada,-73.60055555555554,45.481388888888894,Crise d'Octobre au Québec (1970),-73.60055555555554
132,Prise d'otage des JO de 1972,"48° 10′ 47″ N, 11° 32′ 58″ E",1972,Munich,RFA,11.549444444444445,48.17972222222222,Prise d'otage des JO de 1972,11.549444444444445
133,Découverte du squelette de Lucy,"11° 07′ N, 40° 35′ E",1974,Hadar,Ethiopie,40.583333333333336,11.116666666666667,Découverte du squelette de Lucy (1974),40.583333333333336
134,Création d'Apple,"37° 22′ 05″ N, 122° 05′ 53″ W",1976,Los Altos,USA,-122.09805555555555,37.36805555555556,Création d'Apple (1976),-122.09805555555555
135,Invasion soviétique de l'Afghanistan,"34° 27′ 17″ N, 69° 06′ 48″ E",1979,Kaboul,Afghanistan,69.11333333333333,34.45472222222222,Invasion soviétique de l'Afghanistan (1979),69.11333333333333
136,Révolution sandiniste,"12° 09′ N, 86° 16′ W",1962-1990,,Nicaragua,-86.26666666666667,12.15,Révolution sandiniste (1962-1990),-86.26666666666667
137,Grève des mineurs britanniques,"53° 25′ 51″ N, 1° 21′ 17″ W",1984-1985,Orgreave,Royaume-Uni,-1.3547222222222224,53.43083333333333,Grève des mineurs britanniques (1984-1985),-1.3547222222222224
138,Ouverture du tunnel sous la Manche,"50° 55′ 22″ N, 1° 46′ 48″ E",1994,Pas de Calais,France/Royaume-Uni,1.78,50.922777777777775,Ouverture du tunnel sous la Manche (1994),1.78
139,Manifestations de la place Tian'anmen,"39° 54′ 12″ N, 116° 23′ 30″ E",1989,Pékin,Chine,116.39166666666668,39.90333333333333,Manifestations de la place Tian'anmen (1989),116.39166666666668
140,Procès de Ceausescu,"44° 55′ 28″ N, 25° 27′ 26″ E",1989,Targoviste,Roumanie,25.45722222222222,44.92444444444444,Procès de Ceausescu (1989),25.45722222222222
141,Arrestation de Aung San Suu Kyi,"16° 48′ N, 96° 09′ E",1990,Rangoun,Myanmar,96.15,16.8,Arrestation de Aung San Suu Kyi (1990),96.15
142,Première Intifada,"31° 32′ 21″ N, 34° 29′ 58″ E",1987,Jabaliya,Palestine,34.49944444444444,31.539166666666667,Première Intifada (1987),34.49944444444444
143,Pablo Escobar est abattu par la police,"6° 14′ 00″ N, 75° 34′ 00″ W",1993,Medellin,Colombie,-75.56666666666666,6.233333333333333,Pablo Escobar est abattu par la police (1993),-75.56666666666666
144,Massacre de Srebrenica,"44° 06′ 23″ N, 19° 17′ 49″ E",1995,Srebrenica,Bosnie,19.296944444444446,44.10638888888889,Massacre de Srebrenica (1995),19.296944444444446
145,Assassinat d'Ytzhak Rabin,"32°04′54.8″ N, 34°46′51.4″ E",1995,Tel-Aviv,Israël,34.780944444444444,32.08188888888889,Assassinat d'Ytzhak Rabin (1995),34.780944444444444
146,Fondation de Google,"37° 27′ 28″ N, 122° 09′ 48″ W",1998,Menlo Park,USA,-122.16333333333334,37.45777777777778,Fondation de Google (1998),-122.16333333333334
147,Crise du Timor Oriental,"8° 33′ S, 125° 34′ E",1999,,Timor Oriental,125.56666666666666,-8.55,Crise du Timor Oriental (1999),125.56666666666666
148,Fusillade de Columbine,"39° 36′ 15″ N, 105° 04′ 31″ W",1999,Columbine,USA,-105.07527777777777,39.60416666666667,Fusillade de Columbine (1999),-105.07527777777777
149,Attaque contre l'USS Cole,"12° 48′ 08″ N, 45° 00′ 19″ E",2000,Aden,Yémen,45.00527777777778,12.802222222222223,Attaque contre l'USS Cole (2000),45.00527777777778
150,Renversement de Milosevic,"44° 49′ N, 20° 28′ E",2000,Belgrade,Yougoslavie,20.466666666666665,44.81666666666667,Renversement de Milosevic (2000),20.466666666666665
151,Prise d'otage du vol AF 8969 par le GIA,"43° 26′ N, 5° 13′ E",1994,Marseille,France,5.216666666666667,43.43333333333333,Prise d'otage du vol AF 8969 par le GIA (1994),5.216666666666667
152,Assassinat des moines de Tibhirine,"36° 17′ 44″ N, 2° 42′ 56″ E",1996,Tibhirine,Algérie,2.715555555555556,36.29555555555555,Assassinat des moines de Tibhirine (1996),2.715555555555556
