,name,lat,lon,population,country
413,Ouagadougou,12.3703,-1.5247,1149.0,Burkina Faso
414,Ottawa,45.4167,-75.7,1145.0,Canada
415,Adelaide,-34.935,138.6,1145.0,Australia
416,Shangrao,28.4704,117.97,1144.577,China
417,Torreon,25.5701,-103.42,1144.0,Mexico
418,Srinagar,34.1,74.815,1140.0,India
419,Bezwada,16.52,80.63,1137.0,India
420,Samara,53.195,50.1513,1137.0,Russia
421,Omsk,54.99,73.4,1135.0,Russia
422,Newcastle,-32.8453,151.815,1134.616,Australia
423,Yulin,22.63,110.15,1127.0,China
424,Namp'o,38.7669,125.4524,1127.0,"Korea, North"
425,Xianyang,34.3456,108.7147,1126.0,China
426,Cagayan de Oro,8.4508,124.6853,1121.561,Philippines
427,Can Tho,10.05,105.77,1121.0,Vietnam
428,Barquisimeto,10.05,-69.3,1116.0,Venezuela
429,Helsinki,60.1756,24.9341,1115.0,Finland
430,Kazan',55.7499,49.1263,1115.0,Russia
431,Aurangabad,19.8957,75.3203,1113.0,India
432,Calgary,51.083,-114.08,1110.0,Canada
433,Ciudad Nezahualcoyotl,19.41,-99.03,1109.363,Mexico
434,Zurich,47.38,8.55,1108.0,Switzerland
435,Baoding,38.8704,115.48,1107.0,China
436,Zigong,29.4,104.78,1105.0,China
437,Sharjah,25.3714,55.4065,1103.027,United Arab Emirates
438,Yerevan,40.1812,44.5136,1102.0,Armenia
439,Mogadishu,2.0667,45.3667,1100.0,Somalia
440,Tbilisi,41.725,44.7908,1100.0,Georgia
441,Ankang,32.68,109.02,1100.0,China
442,Huambo,-12.75,15.76,1100.0,Angola
443,Ikare,7.5304,5.76,1099.931,Nigeria
444,Belgrade,44.8186,20.468,1099.0,Serbia
445,Salt Lake City,40.7774,-111.93,1098.4,United States
446,Bhilai,21.2167,81.4333,1097.0,India
447,Jinhua,29.12,119.65,1092.852,China
448,Chelyabinsk,55.155,61.4387,1091.0,Russia
449,Natal,-5.78,-35.24,1088.0,Brazil
450,Dushanbe,38.56,68.7739,1086.244,Tajikistan
451,Copenhagen,55.6786,12.5635,1085.0,Denmark
452,Changwon,35.2191,128.5836,1081.499,"Korea, South"
453,Zhuzhou,27.83,113.15,1080.0,China
454,Suwon,37.2578,127.0109,1078.0,"Korea, South"
455,Nashville,36.1715,-86.7843,1076.645,United States
456,Vereeniging,-26.6496,27.96,1074.0,South Africa
457,Xiangyang,32.02,112.13,1069.0,China
458,Memphis,35.1046,-89.9773,1068.873,United States
459,Ulsan,35.5467,129.317,1061.0,"Korea, South"
460,Amman,31.95,35.9333,1060.0,Jordan
461,Mizhou,35.99,119.3801,1060.0,China
462,Richmond,37.5295,-77.4756,1059.907,United States
463,Dublin,53.3331,-6.2489,1059.0,Ireland
464,Edmonton,53.55,-113.5,1058.0,Canada
465,Solapur,17.6704,75.9,1057.0,India
466,Rostov-na-Donu,47.2346,39.7127,1052.0,Russia
467,Dnipro,48.48,35.0,1050.0,Ukraine
468,Xining,36.62,101.77,1048.0,China
469,Zhangjiakou,40.83,114.93,1046.0,China
470,Lille,50.65,3.08,1044.0,France
471,Ranchi,23.37,85.33,1044.0,India
472,Gaziantep,37.075,37.385,1044.0,Turkey
473,Monrovia,6.3106,-10.8048,1041.0,Liberia
474,Sao Luis,-2.516,-44.266,1038.0,Brazil
475,Amsterdam,52.35,4.9166,1031.0,Netherlands
476,Jerusalem,31.7784,35.2066,1029.3,Israel
477,New Orleans,30.0687,-89.9288,1029.123,United States
478,Guatemala City,14.6211,-90.527,1024.0,Guatemala
479,Zhuhai,22.2769,113.5678,1023.0,China
480,Florianopolis,-27.58,-48.52,1023.0,Brazil
481,Port Elizabeth,-33.97,25.6,1021.0,South Africa
482,Jiamusi,46.83,130.35,1020.0,China
483,Port Harcourt,4.81,7.01,1020.0,Nigeria
484,Raleigh,35.8324,-78.6438,1018.336,United States
485,Ufa,54.79,56.04,1018.0,Russia
486,Hengyang,26.88,112.59,1016.0,China
487,Benxi,41.3304,123.75,1012.0,China
488,Louisville,38.1663,-85.6485,1011.696,United States
489,Haifa,32.8204,34.98,1011.0,Israel
490,Medina,24.5,39.58,1010.0,Saudi Arabia
491,Bucaramanga,7.1301,-73.1259,1009.0,Colombia
492,Maracay,10.2469,-67.5958,1007.0,Venezuela
493,Rotterdam,51.92,4.48,1005.0,Netherlands
494,Homs,34.73,36.72,1005.0,Syria
495,Cologne,50.93,6.95,1004.0,Germany
496,Qinhuangdao,39.9304,119.62,1003.0,China
497,Fes,34.0546,-5.0004,1002.0,Morocco
498,N'Djamena,12.1131,15.0491,989.0,Chad
499,Tegucigalpa,14.102,-87.2175,946.0,Honduras
500,Kingston,17.9771,-76.7674,937.7,Jamaica
501,Nay Pyi Taw,19.7666,96.1186,930.0,Burma
502,Djibouti,11.595,43.148,923.0,Djibouti
503,Managua,12.153,-86.2685,920.0,Nicaragua
504,Niamey,13.5167,2.1167,915.0,Niger
505,Tirana,41.3275,19.8189,895.35,Albania
506,Kathmandu,27.7167,85.3166,895.0,Nepal
507,Ulaanbaatar,47.9167,106.9166,885.0,Mongolia
508,Kigali,-1.9536,30.0605,860.0,Rwanda
