,name,population,lat,lon
210,SAINT-NAZAIRE-SUR-CHARENTE,1.1,45.943056045,-1.0281857286
211,SAINT-SAVINIEN,2.4,45.8862799418,-0.677457125043
212,SAINT-SEVER-DE-SAINTONGE,0.6000000000000001,45.6909400588,-0.52078042473
213,SAINT-SORLIN-DE-CONAC,0.2,45.3565207322,-0.694899173419
214,SALIGNAC-SUR-CHARENTE,0.6000000000000001,45.6692835871,-0.415946816258
215,SEMUSSAC,2.0,45.5992753658,-0.915156967296
216,LES AIX-D'ANGILLON,1.9,47.192968882,2.56146410193
217,AUGY-SUR-AUBOIS,0.30000000000000004,46.7829151486,2.85715092019
218,CORQUOY,0.2,46.8920009794,2.29746216707
219,EPINEUIL-LE-FLEURIEL,0.5,46.5709100191,2.55643995576
220,LUGNY-CHAMPAGNE,0.2,47.177490889,2.82796687911
221,MENETOU-COUTURE,0.30000000000000004,47.0419975114,2.93649799809
222,MEREAU,2.3,47.1794168881,2.05220231898
223,SAINT-AMBROIX,0.4,46.935551772,2.12401478057
224,SAINT-MAUR,0.30000000000000004,46.568652329,2.28797208225
225,SAVIGNY-EN-SANCERRE,1.1,47.4437813454,2.7982040526
226,SUBLIGNY,0.4,47.3955907367,2.7523718933
227,TENDRON,0.1,46.9797256032,2.82004963594
228,VORLY,0.2,46.9399216057,2.4731491323
229,BEYSSENAC,0.4,45.4022168067,1.30367937423
230,CHAUMEIL,0.2,45.4552902265,1.88020391469
231,LAGUENNE,1.5,45.2402545634,1.78668276464
232,MANSAC,1.4,45.1603327019,1.38223903365
233,SAINT-PARDOUX-LE-NEUF,0.1,45.6127807921,2.33140885442
234,SEGONZAC,0.2,45.2767795103,1.26250500836
235,VITRAC-SUR-MONTANE,0.30000000000000004,45.3727168836,1.93317365283
236,ARCONCEY,0.2,47.2158291471,4.46108652997
237,AUXANT,0.1,47.1298867764,4.61921408774
238,BILLY-LES-CHANCEAUX,0.1,47.5530033313,4.73431352528
239,BROIN,0.4,47.0864209474,5.10439169166
240,BROINDON,0.1,47.1957469906,5.03994792471
241,CHAMBLANC,0.5,47.0222258183,5.16878563446
242,CHAMPAGNY,0.0,47.4615477148,4.76760990741
243,CHAUME-ET-COURCHAMP,0.1,47.5806895666,5.36162357765
244,CHEVANNES,0.1,47.1587967474,4.83357896263
245,COURLON,0.1,47.64572911,5.00801867422
246,FUSSEY,0.1,47.1289690421,4.81617367712
247,GILLY-LES-CITEAUX,0.6000000000000001,47.1779786537,4.99751060917
248,HEUILLEY-SUR-SAONE,0.30000000000000004,47.3358079869,5.46489125739
249,IZIER,0.7000000000000001,47.2813484064,5.19627066906
250,MAUVILLY,0.1,47.7096666465,4.70428549427
251,MENETREUX-LE-PITOIS,0.4,47.559690561,4.45956971302
252,MONT-SAINT-JEAN,0.2,47.2858528062,4.4113796914
253,NOIDAN,0.1,47.3467171158,4.40982170354
254,NOIRON-SUR-BEZE,0.2,47.4394112405,5.29872318112
