,city,admin,lat,lng,population,local_rank,group
206,Montceau-les-Mines,71,46.6762539128,4.3540960404,19.5,206,2
207,Concarneau,29,47.896626000299996,-3.90716871821,19.4,207,2
208,Sceaux,89,48.776816368999995,2.29529414514,19.3,208,2
209,Nogent-sur-Oise,60,49.2761508066,2.46417183632,19.1,209,2
210,Saint-Jean-de-Braye,45,47.9178497622,1.97241570235,19.1,210,2
211,Albertville,73,45.6683987277,6.40460338643,19.0,211,2
212,Sedan,08,49.697058875,4.9298505244,18.9,212,2
213,Maurepas,80,48.76983935609999,1.92404037065,18.8,213,2
214,Saint-Lo,50,49.1099624249,-1.07755642702,18.8,214,2
215,Le Puy-en-Velay,43,45.02763666590001,3.89535229067,18.8,215,2
216,Cognac,16,45.69623265510001,-0.33507941815000003,18.7,216,2
217,Challans,85,46.835441665299996,-1.8403668313900003,18.7,217,2
218,Bressuire,79,46.8545755683,-0.479375922286,18.6,218,2
219,Bourg-les-Valence,26,44.965109418800004,4.89411636376,18.6,219,2
220,Marmande,47,44.5055176845,0.172174280849,18.5,220,2
221,Royan,17,45.6346574238,-1.01791403375,18.3,221,2
222,Pontarlier,25,46.9119730882,6.38914602031,18.3,222,2
223,Bagnols-sur-Ceze,30,44.162249673599995,4.6247738085400005,18.1,223,2
224,Ploemeur,56,47.7325584986,-3.44178815745,18.0,224,2
225,Louviers,27,49.2206099164,1.1534003015799998,17.9,225,2
226,Lons-le-Saunier,39,46.6744796278,5.5573321294700015,17.9,226,2
227,Riom,63,45.8942667778,3.1324646971900005,17.8,227,2
228,Equeurdreville-Hainneville,50,49.6441465184,-1.67828720292,17.4,228,2
229,Firminy,42,45.3788146093,4.28879456136,17.2,229,2
230,Digne-les-Bains,04,44.0908723554,6.23590323452,17.2,230,2
231,Chamalieres,63,45.77479665510001,3.0612681838,17.1,231,2
232,Romorantin-Lanthenay,41,47.374522634099996,1.74456385409,17.1,232,2
233,Vendome,41,47.8013026692,1.06106057175,17.0,233,2
234,Annonay,07,45.2460902392,4.65026947295,16.9,234,2
235,Vitre,35,48.1140815063,-1.19370720718,16.7,235,2
236,Tourlaville,50,49.6390845322,-1.56916805259,16.1,236,2
237,Beaucaire,32,43.7797429509,4.59380296865,15.9,237,2
238,Vesoul,70,47.6320408648,6.1548458149,15.9,238,2
239,Saint-Cyr-sur-Loire,37,47.4185650638,0.657856616894,15.9,239,2
240,Bar-le-Duc,55,48.764228046499994,5.16346492169,15.9,240,2
241,Toul,54,48.6865463937,5.89508449535,15.9,241,2
242,Morlaix,29,48.5996746612,-3.8205201996300007,15.5,242,2
243,Pamiers,09,43.12348606729999,1.61523399037,15.4,243,2
244,Tulle,19,45.2731516999,1.76313875655,15.4,244,2
245,Saint-Pierre-des-Corps,37,47.3884488197,0.7380117720720001,15.4,245,2
246,La Fleche,72,47.6893893794,-0.0646954849714,15.2,246,2
247,Lourdes,65,43.10742973439999,-0.0768069387932,15.1,247,2
248,Les Herbiers,85,46.866612581300004,-1.02216086186,15.1,248,2
249,Gueret,23,46.1632121428,1.87078672735,13.8,249,2
250,Mayenne,53,48.3074609449,-0.614799950799,13.4,250,2
251,Mende,48,44.529450859200004,3.48086881176,12.3,251,2
