,Unnamed: 0,admin,capital,city,country,iso2,lat,lng,population,population_proper,ranks,continent_code,continent
8,8,Uruguay,admin,Mercedes,Uruguay,UY,-33.2525,-58.029167,42359.0,41544.0,436,SA,Amérique du Sud
9,9,Uruguay,admin,Artigas,Uruguay,UY,-30.4,-56.466667,41909.0,22236.0,417,SA,Amérique du Sud
10,10,Uruguay,admin,Minas,Uruguay,UY,-34.374167,-55.236111,41180.0,38025.0,416,SA,Amérique du Sud
11,11,Uruguay,admin,San José,Uruguay,UY,-34.3375,-56.713611,36529.0,36395.0,415,SA,Amérique du Sud
12,12,Uruguay,admin,Durazno,Uruguay,UY,-33.380556,-56.523611,34037.0,33926.0,414,SA,Amérique du Sud
13,13,Uruguay,admin,Florida,Uruguay,UY,-34.095556,-56.214167,32234.0,32234.0,394,SA,Amérique du Sud
14,14,Uruguay,admin,Treinta y Tres,Uruguay,UY,-33.233333,-54.38333299999999,27684.0,25653.0,395,SA,Amérique du Sud
15,15,Uruguay,admin,Rocha,Uruguay,UY,-34.483333,-54.333333,26874.0,25515.0,396,SA,Amérique du Sud
16,16,Uruguay,admin,Fray Bentos,Uruguay,UY,-33.121944,-58.30305600000001,23279.0,23279.0,397,SA,Amérique du Sud
18,18,Uruguay,admin,Colonia del Sacramento,Uruguay,UY,-34.454975,-57.841174,21714.0,21714.0,399,SA,Amérique du Sud
19,19,Uruguay,admin,Trinidad,Uruguay,UY,-33.516944,-56.898056,21093.0,21093.0,400,SA,Amérique du Sud
20,20,Uruguay,admin,Canelones,Uruguay,UY,-34.522778,-56.27777800000001,19698.0,19698.0,401,SA,Amérique du Sud
1,1,Venezuela,admin,Maracaibo,Venezuela,VE,10.666633,-71.612447,2072000.0,1457300.0,404,SA,Amérique du Sud
2,2,Venezuela,admin,Valencia,Venezuela,VE,10.162022,-68.007648,1770000.0,1369053.0,438,SA,Amérique du Sud
3,3,Venezuela,admin,Barquisimeto,Venezuela,VE,10.073889,-69.322778,1116000.0,809490.0,439,SA,Amérique du Sud
4,4,Venezuela,admin,Maracay,Venezuela,VE,10.23535,-67.591128,1007000.0,1007000.0,440,SA,Amérique du Sud
6,6,Venezuela,admin,Barcelona,Venezuela,VE,10.136248,-64.686175,600954.0,121906.0,466,SA,Amérique du Sud
8,8,Venezuela,admin,San Cristóbal,Venezuela,VE,7.766944,-72.225,438798.0,246583.0,468,SA,Amérique du Sud
9,9,Venezuela,admin,Maturín,Venezuela,VE,9.746127,-63.170332,410972.0,304443.0,469,SA,Amérique du Sud
10,10,Venezuela,admin,Ciudad Bolívar,Venezuela,VE,8.129234,-63.54085500000001,338000.0,297943.0,470,SA,Amérique du Sud
11,11,Venezuela,admin,Cumaná,Venezuela,VE,10.46354,-64.177501,317603.0,257783.0,471,SA,Amérique du Sud
13,13,Venezuela,admin,Los Teques,Venezuela,VE,10.344473,-67.043247,303470.0,303470.0,473,SA,Amérique du Sud
19,19,Venezuela,admin,Coro,Venezuela,VE,11.404501,-69.67344399999999,195227.0,172969.0,479,SA,Amérique du Sud
22,22,Venezuela,admin,Guanare,Venezuela,VE,9.041826,-69.742056,151642.0,112286.0,482,SA,Amérique du Sud
25,25,Venezuela,admin,San Fernando,Venezuela,VE,7.887816,-67.472362,122701.0,78779.0,475,SA,Amérique du Sud
30,30,Venezuela,admin,San Juan de los Morros,Venezuela,VE,9.911523,-67.35381,87739.0,87739.0,442,SA,Amérique du Sud
31,31,Venezuela,admin,San Carlos,Venezuela,VE,9.661241,-68.58268299999999,77192.0,77192.0,443,SA,Amérique du Sud
32,32,Venezuela,admin,San Felipe,Venezuela,VE,10.339914,-68.742469,76766.0,76766.0,444,SA,Amérique du Sud
35,35,Venezuela,admin,Puerto Ayacucho,Venezuela,VE,5.65,-67.5975,52526.0,50719.0,447,SA,Amérique du Sud
36,36,Venezuela,admin,Tucupita,Venezuela,VE,9.058056,-62.05,51534.0,47874.0,448,SA,Amérique du Sud
37,37,Venezuela,admin,Trujillo,Venezuela,VE,9.365833,-70.436944,50353.0,38110.0,449,SA,Amérique du Sud
40,40,Venezuela,admin,La Asunción,Venezuela,VE,11.032831,-63.86353,35084.0,35084.0,452,SA,Amérique du Sud
47,47,Venezuela,admin,La Guaira,Venezuela,VE,10.600402,-66.93002,0.0,,459,SA,Amérique du Sud
48,48,Venezuela,admin,Barinas,Venezuela,VE,8.622608999999999,-70.20749,0.0,,460,SA,Amérique du Sud
49,49,Venezuela,primary,Caracas,Venezuela,VE,10.488011,-66.879193,0.0,,451,SA,Amérique du Sud
50,50,Venezuela,admin,Mérida,Venezuela,VE,8.589722,-71.156111,0.0,,1380,SA,Amérique du Sud
