,admin,capital,city,country,iso2,lat,lng,population,population_proper
174,Syrie,,Al Kuraydīyah,Syria,SY,35.56852199999999,35.747115,539147.0,340181.0
175,Malaisie,admin,Kota Kinabalu,Malaysia,MY,5.9749,116.0724,527671.0,457326.0
176,Iraq,admin,Karbalā’,Iraq,IQ,32.597902000000005,44.016482,510692.0,434450.0
177,Malaisie,,Kampong Baharu,Malaysia,MY,6.116667,102.216667,505583.0,279316.0
178,Taïwan,admin,Pingtung,Taiwan,TW,22.671354,120.488142,503530.0,215975.0
179,Taïwan,admin,Chiayi,Taiwan,TW,23.479167,120.448889,500000.0,274212.0
180,Taïwan,admin,Keelung,Taiwan,TW,25.128251,121.7419,500000.0,387207.0
181,Viet Nam,admin,Thành Phố Thái Nguyên,Vietnam,VN,21.59422,105.848172,500000.0,330000.0
182,Ouzbékistan,,Shahrisabz,Uzbekistan,UZ,39.057778000000006,66.83416700000001,498545.0,57051.0
183,Syrie,minor,Dūmā,Syria,SY,33.571746999999995,36.402701,496145.0,317679.0
184,Malaisie,,Shah Alam,Malaysia,MY,3.083333,101.533333,481654.0,481654.0
185,Afghanistan,admin,Herāt,Afghanistan,AF,34.348167,62.199673,481009.0,397456.0
186,Kazakhstan,admin,Shymkent,Kazakhstan,KZ,42.3,69.6,465392.0,414032.0
187,Philippines,admin,Iligan,Philippines,PH,8.230833,124.236111,464599.0,464599.0
188,Syrie,admin,Ḩamāh,Syria,SY,35.13179,36.757834,460602.0,418990.0
189,Afghanistan,admin,Mazār-e Sharīf,Afghanistan,AF,36.709041,67.110866,458151.0,272714.0
190,Kazakhstan,admin,Qaraghandy,Kazakhstan,KZ,49.8,73.1,451800.0,304747.0
191,Iraq,admin,An Nāşirīyah,Iraq,IQ,31.057993,46.257262,451547.0,400249.0
192,Myanmar,admin,Mawlamyine,Burma,MM,16.490514,97.628248,438861.0,361637.0
193,Tadjikistan,admin,Khŭjand,Tajikistan,TJ,40.28256,69.622155,437684.0,144865.0
194,Corée du Nord,,Sunch’ŏn,"Korea, North",KP,39.431667,125.932778,400629.0,400629.0
195,Arabie Saoudite,admin,Buraydah,Saudi Arabia,SA,26.325986,43.974966,398581.0,391336.0
196,Thaïlande,admin,Chiang Mai,Thailand,TH,18.790376,98.984683,397211.0,200952.0
197,Kirghizistan,admin,Osh,Kyrgyzstan,KG,40.515062,72.80826400000002,391277.0,200000.0
198,Thaïlande,admin,Samut Prakan,Thailand,TH,13.600417000000002,100.596778,388920.0,388920.0
199,Ouzbékistan,admin,Qarshi,Uzbekistan,UZ,38.858333,65.8,386361.0,222898.0
200,Arabie Saoudite,admin,Ḩā’il,Saudi Arabia,SA,27.521876,41.690732,385257.0,385257.0
201,Kazakhstan,admin,Taraz,Kazakhstan,KZ,42.9,71.366667,358153.0,307294.0
202,Ouzbékistan,,Qatog‘on,Uzbekistan,UZ,40.509566,70.962529,350000.0,192500.0
203,Kazakhstan,primary,Astana,Kazakhstan,KZ,51.166666,71.45,345604.0,325021.0
204,Corée du Nord,minor,Kaesŏng,"Korea, North",KP,37.970833,126.554444,338155.0,272512.0
205,Thaïlande,admin,Nakhon Ratchasima,Thailand,TH,14.971596,102.08255,334984.0,208781.0
206,Corée du Nord,admin,Wŏnsan,"Korea, North",KP,39.15277800000001,127.443611,329207.0,315643.0
207,Kazakhstan,admin,Pavlodar,Kazakhstan,KZ,52.283333,76.966666,329002.0,303506.0
208,Kazakhstan,admin,Öskemen,Kazakhstan,KZ,49.966666,82.6,319067.0,249634.0
209,Thaïlande,minor,Hat Yai,Thailand,TH,7.008359,100.476682,317954.0,191696.0
210,Tadjikistan,admin,Qŭrghonteppa,Tajikistan,TJ,37.833994,68.781858,311574.0,65000.0
211,Kazakhstan,,Semey,Kazakhstan,KZ,50.426749,80.266694,311353.0,292780.0
212,Syrie,admin,Dayr az Zawr,Syria,SY,35.33389000000001,40.141813,309141.0,242565.0
213,Azerbaïdjan,admin,Gəncə,Azerbaijan,AZ,40.682778000000006,46.360556,303268.0,300131.0
214,Kazakhstan,admin,Qyzylorda,Kazakhstan,KZ,44.85,65.5,300000.0,126519.0
215,Corée du Nord,admin,Kanggye,"Korea, North",KP,40.969465,126.585231,299514.0,209530.0
216,Corée du Nord,admin,Sinŭiju,"Korea, North",KP,40.100556,124.398056,288112.0,46356.0
217,Myanmar,admin,Bago,Burma,MM,17.335214,96.481351,284318.0,244376.0
218,Azerbaïdjan,admin,Sumqayıt,Azerbaijan,AZ,40.589722,49.668611,279159.0,265150.0
219,Thaïlande,admin,Ubon Ratchathani,Thailand,TH,15.23844,104.848659,273893.0,122533.0
220,Myanmar,,Myeik,Burma,MM,12.439537,98.60028,266720.0,173298.0
221,Kazakhstan,admin,Aqtöbe,Kazakhstan,KZ,50.3,57.183333,262457.0,258529.0
222,Tadjikistan,minor,Konibodom,Tajikistan,TJ,40.294144,70.431224,259876.0,50359.0
223,Afghanistan,admin,Kunduz,Afghanistan,AF,36.728955,68.857001,259809.0,161902.0
224,Thaïlande,admin,Nonthaburi,Thailand,TH,13.862167,100.513417,258550.0,258550.0
225,Yémen,admin,Al Mukallā,Yemen,YE,14.542481,49.124244,258132.0,130029.0
226,Thaïlande,admin,Khon Kaen,Thailand,TH,16.446710999999997,102.832999,251056.0,147579.0
227,Kirghizistan,admin,Jalal-Abad,Kyrgyzstan,KG,40.93333300000001,73.0,248899.0,75700.0
228,Thaïlande,admin,Udon Thani,Thailand,TH,17.415667000000006,102.785889,247231.0,231153.0
229,Ouzbékistan,,Kattaqo‘rg‘on,Uzbekistan,UZ,39.898889,66.256111,247113.0,59382.0
230,Myanmar,admin,Pathein,Burma,MM,16.779188,94.732123,237089.0,194940.0
231,Ouzbékistan,admin,Jizzax,Uzbekistan,UZ,40.115833,67.84222199999999,235352.0,152642.0
232,Yémen,admin,Ibb,Yemen,YE,13.940771,44.177343,234837.0,234837.0
233,Thaïlande,admin,Nakhon Si Thammarat,Thailand,TH,8.433333,99.966667,232335.0,120836.0
234,Myanmar,,Monywa,Burma,MM,22.108561,95.135834,226222.0,182011.0
235,Sri Lanka,,Dehiwala,Sri Lanka,LK,6.84,79.87100000000002,219827.0,
236,Afghanistan,,Ṯaghar,Afghanistan,AF,36.152481,68.737086,218748.0,108449.0
237,Yémen,admin,Ḩajjah,Yemen,YE,15.694247,43.605821,208287.0,43549.0
238,Afghanistan,admin,Lashkar Gāh,Afghanistan,AF,31.593817,64.37161400000001,201546.0,201546.0
239,Afghanistan,admin,Maīmanah,Afghanistan,AF,35.921337,64.784058,199795.0,199795.0
240,Yémen,admin,Dhamār,Yemen,YE,14.542742,44.40514500000001,191259.0,191259.0
241,Sri Lanka,,Moratuwa,Sri Lanka,LK,6.773,79.882,185031.0,
242,Myanmar,,Hinthada,Burma,MM,17.649435999999994,95.457055,180728.0,134947.0
243,Afghanistan,minor,Balkh,Afghanistan,AF,36.756352,66.897196,179969.0,114883.0
244,Myanmar,admin,Sittwe,Burma,MM,20.146241,92.898346,179032.0,177743.0
245,Syrie,admin,Ar Raqqah,Syria,SY,35.952829,39.007879,177636.0,173565.0
246,Liban,admin,Sidon,Lebanon,LB,33.559932,35.375636,173894.0,173894.0
247,Sri Lanka,,Jaffna,Sri Lanka,LK,9.668,80.007,169102.0,
248,Syrie,admin,Ţarţūs,Syria,SY,34.889022,35.886586,162980.0,115769.0
249,Cambodge,admin,Battambang,Cambodia,KH,13.102713,103.198215,154773.0,150444.0
250,Yémen,minor,Zabīd,Yemen,YE,14.1951,43.315181,152504.0,52590.0
251,Syrie,admin,Dar‘ā,Syria,SY,32.618889,36.102134,146481.0,97969.0
252,Jordanie,admin,As Salţ,Jordan,JO,32.039167,35.727222,140689.0,80189.0
253,Sri Lanka,,Negombo,Sri Lanka,LK,7.207999999999998,79.836,137223.0,
254,Sri Lanka,,Pita Kotte,Sri Lanka,LK,6.891,79.90100000000002,118179.0,
255,Sri Lanka,,Sri Jayewardenepura Kotte,Sri Lanka,LK,6.882999999999999,79.907,115826.0,
256,Tadjikistan,minor,Kŭlob,Tajikistan,TJ,37.914585,69.784544,115164.0,78786.0
257,Kirghizistan,,Tokmok,Kyrgyzstan,KG,42.841939,75.301487,112860.0,63047.0
258,Sri Lanka,,Kandy,Sri Lanka,LK,7.291,80.634,111701.0,
259,Cambodge,admin,Siem Reap,Cambodia,KH,13.361793,103.860556,109398.0,85000.0
260,Sri Lanka,,Trincomalee,Sri Lanka,LK,8.578,81.229,108420.0,
261,Laos,admin,Louangphabang,Laos,LA,19.886006,102.135029,107142.0,47378.0
262,Laos,admin,Pakxé,Laos,LA,15.120221,105.798979,102775.0,88332.0
263,Sri Lanka,,Kalmunai,Sri Lanka,LK,7.409,81.835,100171.0,
